eid,fund_aum,display_name,entity_type,cik
18073,2714525923155.8687,J.P. Morgan Investment Management Inc.,institution,
2322,2044198968021.9434,PIMCO,institution,0001163368
9904,1571051172686.8313,"TEACHERS ADVISORS, LLC",institution,0000939222
1355,1162805887157.207,FRANKLIN ADVISERS INC,institution,0000898420
17924,1105544167794.2263,T. Rowe Price Associates,institution,
2400,714590674827.1089,Fidelity Management & Research Co LLC,institution,0000035368
11,415271298767.74817,Fidelity / FMR,institution,
3,301895663194.6704,State Street / SSGA,institution,
18983,300790894227.8805,"Jackson National Asset Management, LLC",institution,
17930,275335717174.4101,Federated Advisory Services Company,institution,
19555,262242184223.84042,"WisdomTree Asset Management, Inc.",institution,
10538,257964490734.6115,MANULIFE INVESTMENT MANAGEMENT (US) LLC,institution,0001034182
8,232682587118.01022,First Trust,institution,
2232,222165052041.82022,"SUNAMERICA ASSET MANAGEMENT, LLC",institution,0000863926
2562,221102645689.02014,"Equitable Investment Management, LLC",institution,0001965856
18177,168944419442.63995,"Brighthouse Investment Advisers, LLC",institution,
7823,153066554524.3192,"Thrivent Asset Management, LLC",institution,0001346952
18298,145429837632.17993,"Transamerica Asset Management, Inc.",institution,
17935,138379602457.44006,Macquarie Investment Management Global Limited,institution,
5127,132961559274.26923,PUTNAM INVESTMENT MANAGEMENT LLC,institution,0000081273
